OntologyID	Description	GeneRatio	pvalue	p.adjust	qvalue
C0021841	Intestinal Neoplasms	19/572	3.79967179596241e-07	0.00125130057278561	0.0011309642318535
C2748502	CORNEAL DYSTROPHY, POSTERIOR AMORPHOUS	4/572	4.80422898567598e-07	0.00125130057278561	0.0011309642318535
C0545074	Myxoid/Round Cell Liposarcoma	11/572	4.97798928306172e-07	0.00125130057278561	0.0011309642318535
C0206634	Liposarcoma, Myxoid	12/572	1.04283035522893e-06	0.00160515042486976	0.00145078469294617
C1370889	Liposarcoma, well differentiated	10/572	1.2771386486167e-06	0.00160515042486976	0.00145078469294617
C3489413	Lipomatosis, Multiple	10/572	1.2771386486167e-06	0.00160515042486976	0.00145078469294617
C0302274	Glutamine measurement	4/572	2.3517373836145e-06	0.00221680645122961	0.00200361836301367
C0546966	Monilethrix	4/572	2.3517373836145e-06	0.00221680645122961	0.00200361836301367
C1832348	Slow-growing hair	8/572	2.81497705269409e-06	0.00235863799492957	0.00213181010715722
C0030481	Tropical Spastic Paraparesis	12/572	3.37135640628221e-06	0.00254233986597742	0.00229784555059761
C0265334	Pachyonychia Congenita	6/572	4.66565570298239e-06	0.00319851905965365	0.00289092063892928
C0205824	Liposarcoma, Dedifferentiated	12/572	7.58940566838237e-06	0.00476930901210595	0.00431064927217332
C0201874	Amino acids measurement	9/572	9.18914386178259e-06	0.00533041029705404	0.00481779000040828
C0023798	Lipoma	11/572	1.79565607737425e-05	0.00919746071285683	0.00831294999486987
C1865951	Ectodermal Dysplasia, Pure Hair-Nail Type	3/572	1.8294909255119e-05	0.00919746071285683	0.00831294999486987
C0206631	Lipomatous neoplasm	5/572	2.06853819502281e-05	0.00927129726066173	0.00837968575475606
C0334299	Carcinoid tumor no ICD-O subtype	13/572	2.09006833883105e-05	0.00927129726066173	0.00837968575475606
C0334121	Inflammatory Myofibroblastic Tumor	11/572	3.06076230330452e-05	0.0125878316447808	0.0113772723008893
C0271183	Severe myopia	16/572	3.18782856659862e-05	0.0125878316447808	0.0113772723008893
C4551675	Keratoderma, Palmoplantar	15/572	3.33850461338836e-05	0.0125878316447808	0.0113772723008893
C0241961	Angiomyolipoma of kidney	7/572	3.69215023769939e-05	0.0132583356869005	0.0119832946311296
C0221260	Dystrophia unguium	10/572	5.29791762921901e-05	0.0181598167463366	0.0164134050953077
C0853087	Nail abnormality	9/572	6.38949286771299e-05	0.0208068859821968	0.0188059082956643
C0278985	Adult Extraskeletal Osteosarcoma	3/572	7.17383683247734e-05	0.0208068859821968	0.0188059082956643
C0740479	Undifferentiated High Grade Pleomorphic Sarcoma of Bone	3/572	7.17383683247734e-05	0.0208068859821968	0.0188059082956643
C4024867	Perifollicular hyperkeratosis	3/572	7.17383683247734e-05	0.0208068859821968	0.0188059082956643
C1266127	Histiocytoma, Angiomatoid Fibrous	6/572	7.56261086807068e-05	0.0211220920578226	0.0190908013141355
C1301194	Salivary duct carcinoma	8/572	8.01154033605657e-05	0.0215767948836438	0.0195017758180324
C0341862	Hypothalamic amenorrhea	4/572	8.88656067257782e-05	0.0231081220799687	0.0208858367894524
C0263383	Keratosis pilaris	6/572	0.00011396898078813	0.0286480028041096	0.0258929526527418
C0263490	Brittle hair	7/572	0.000163462225395816	0.0339960490109753	0.0307266825349235
C0018922	hemangiopericytoma	6/572	0.00016631795071317	0.0339960490109753	0.0307266825349235
C0340030	Pleural plaque	3/572	0.000175818314736512	0.0339960490109753	0.0307266825349235
C0702167	Atrichia	3/572	0.000175818314736512	0.0339960490109753	0.0307266825349235
C0855052	Extraskeletal Osteosarcoma	3/572	0.000175818314736512	0.0339960490109753	0.0307266825349235
C1154610	sensory perception of bitter taste	3/572	0.000175818314736512	0.0339960490109753	0.0307266825349235
C1278797	Postnatal infection	3/572	0.000175818314736512	0.0339960490109753	0.0307266825349235
C1377843	Periosteal Osteosarcoma	3/572	0.000175818314736512	0.0339960490109753	0.0307266825349235
C1721007	Pachyonychia Congenita, Type 2 (disorder)	3/572	0.000175818314736512	0.0339960490109753	0.0307266825349235
C0278622	Adult Malignant Peripheral Nerve Sheath Tumor	8/572	0.000216450558012176	0.0398110648285322	0.0359824740212796
C0279987	Childhood Malignant Peripheral Nerve Sheath Tumor	8/572	0.000216450558012176	0.0398110648285322	0.0359824740212796
C0346200	Intravenous leiomyomatosis	3/572	0.000344729252722945	0.0607600737066587	0.0549168373942609
C0262444	Abnormality of the dentition	12/572	0.000346463754062634	0.0607600737066587	0.0549168373942609
C0026987	Myelofibrosis	13/572	0.000402362710808983	0.0663889993960342	0.0600044348563741
C0027766	Nervous System Neoplasms	8/572	0.000412157019364809	0.0663889993960342	0.0600044348563741
C0020678	Hypotrichosis	8/572	0.000455610529334886	0.0663889993960342	0.0600044348563741
C0206633	Angiomyolipoma	7/572	0.000462913502889198	0.0663889993960342	0.0600044348563741
C0037579	Soft Tissue Neoplasms	12/572	0.0004769841295194	0.0663889993960342	0.0600044348563741
C1266129	Atypical Lipoma	8/572	0.000502707476040673	0.0663889993960342	0.0600044348563741
C0022596	Palmoplantar Keratosis	6/572	0.000512130735676489	0.0663889993960342	0.0600044348563741
C0006848	Mucocutaneous candidiasis	4/572	0.000519931699657374	0.0663889993960342	0.0600044348563741
C0263859	Synovitis, Acne, Pustulosis, Hyperostosis, and Osteitis Syndrome	4/572	0.000519931699657374	0.0663889993960342	0.0600044348563741
C0541794	Skeletal muscle atrophy	19/572	0.000538620992167506	0.0663889993960342	0.0600044348563741
C0206642	Parosteal Osteosarcoma	3/572	0.000591441356191337	0.0663889993960342	0.0600044348563741
C0854178	Metastases to adrenals	3/572	0.000591441356191337	0.0663889993960342	0.0600044348563741
C0236734	Caffeine related disorders	21/572	0.000637361244056781	0.0663889993960342	0.0600044348563741
C0156369	Uterine Polyp	6/572	0.000675027596106788	0.0663889993960342	0.0600044348563741
C0017547	Gigantism	4/572	0.000678843641692845	0.0663889993960342	0.0600044348563741
C0232981	Arrest of spermatogenesis	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C0263580	Ichthyosis hystrix	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C0342646	Vitamin D-Dependent Rickets, Type 2A	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
C0345613	Neoplasm of minor salivary gland	2/572	0.000695495418682761	0.0663889993960342	0.0600044348563741
